"assembly","province","election_date","all_votes","all_seats","candidate_party","candidates_fielded","seats_contested_share","seats_won","seats_won_share","win_rate","seats_second","mean_win_MOV_pct","mean_vote_share","party_votes","party_vote_share"
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Pakistan Tehreek-e-Insaf",96,0.989690721649485,66,0.680412371134021,0.6875,16,0.130437875554173,0.329526081129696,2133397,0.323004219015761
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Muttahidda Majlis-e-Amal Pakistan",93,0.958762886597938,10,0.103092783505155,0.10752688172043,23,0.044782336126198,0.182026086133955,1127786,0.170750983594197
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Awami National Party",85,0.876288659793814,6,0.0618556701030928,0.0705882352941176,24,0.0726824859993445,0.146800802734445,805307,0.121926466852126
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Independents",469,4.83505154639175,6,0.0618556701030928,0.0127931769722814,12,0.107301961815774,0.029429406481004,932474,0.141180022341131
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Pakistan Muslim League (Nawaz)",78,0.804123711340206,5,0.0515463917525773,0.0641025641025641,11,0.0471238472558325,0.107414413566091,655861,0.0992997881256493
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Pakistan Peoples Party Parliamentarians",84,0.865979381443299,4,0.0412371134020619,0.0476190476190476,9,0.0415849771279709,0.103687798159814,605326,0.0916486016807629
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Pakistan Muslim League (Zia-ul-Haq Shaheed)",1,0.0103092783505155,0,0,0,0,NA,0.000295008151541029,19,0.00000287667047497463
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Jamiat Ulema-e-Pakistan (Noorani)",1,0.0103092783505155,0,0,0,0,NA,0.000335511728323025,23,0.0000034822853118114
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Aam Awam Party",1,0.0103092783505155,0,0,0,0,NA,0.00152248198396319,45,0.0000068131669144136
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Majlis-e-Wahdat-e-Muslimeen Pakistan",1,0.0103092783505155,0,0,0,0,NA,0.000488197817755755,60,0.00000908422255255147
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Pakistan Kissan Ittehad (Ch. Anwar)",1,0.0103092783505155,0,0,0,0,NA,0.000688173836881947,66,0.00000999264480780662
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Pasban",2,0.0206185567010309,0,0,0,0,NA,0.00193317606369602,184,0.0000278582824944912
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Muttahida Qaumi Movement Pakistan",2,0.0206185567010309,0,0,0,0,NA,0.00141855437935485,204,0.000030886356678675
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Jannat Pakistan Party",1,0.0103092783505155,0,0,0,0,NA,0.00289343878310232,210,0.0000317947789339301
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Pakistan Islamic Republican Party",3,0.0309278350515464,0,0,0,0,NA,0.00159363968225779,256,0.0000387593495575529
"Provincial","Khyber Paktunkhwa",2018-07-25,6604858,97,"Pakistan Freedom Movement",1,0.0103092783505155,0,0,0,0,NA,0.00533508215317535,301,0.0000455725164719665
